Normalized Name,Display Name,Category,Explanation
"high fructose corn syrup","High Fructose Corn Syrup","concerning","A highly processed sweetener linked to weight gain and metabolic issues when consumed in excess."
"light brown sugar","Light Brown Sugar","neutral","Provides sweetness and moisture but offers minimal nutritional value. Enjoy in moderation."
"brown sugar","Brown Sugar","neutral","Adds sweetness and flavor depth. Consider portion size to manage added sugars."
"cane sugar","Cane Sugar","neutral","Common table sugar. Neutral for most people when enjoyed sparingly."
"turbinado sugar","Turbinado Sugar","neutral","Less refined sugar with trace minerals but similar metabolic impact as white sugar."
"ascorbic acid","Vitamin C (Ascorbic Acid)","beneficial","An essential vitamin that supports immune function and acts as an antioxidant."
"tocopherol","Vitamin E (Tocopherol)","beneficial","A fat-soluble antioxidant that helps protect cells from oxidative stress."
"citric acid","Citric Acid","neutral","A natural acid used to add tartness or preserve freshness; generally recognized as safe."
"acetic acid","Acetic Acid","neutral","Main acid in vinegar; provides preservation benefits with minimal nutritional impact."
"lactic acid","Lactic Acid","neutral","Commonly used to regulate acidity or enhance tang. Typically well tolerated."
"malic acid","Malic Acid","neutral","Naturally occurring acid found in fruits, used for tartness and freshness."
"tartaric acid","Tartaric Acid","neutral","Grape-derived acidifier that stabilizes textures and flavors."
"cheese flavor","Cheese Flavor","concerning","Flavoring agents that often rely on artificial compounds; best limited."
"cheddar cheese flavor","Cheddar Cheese Flavor","concerning","Typically formulated with artificial flavor chemicals; minimize intake."
"natural cheese flavor","Natural Cheese Flavor","neutral","Flavoring derived from dairy ingredients; neutral but processed."
"natural flavor","Natural Flavor","neutral","Broad term for flavor extracts from plant or animal sources. Usually safe, though not very transparent."
"natural flavors","Natural Flavors","neutral","Broad term for flavor extracts from plant or animal sources. Usually safe, though not very transparent."
"artificial flavor","Artificial Flavor","concerning","Synthetic compounds that mimic natural flavors; generally safe but offer no nutritional value."
"vanilla extract","Vanilla Extract","neutral","Alcohol-based extract for flavor. Neutral when used in culinary amounts."
"paprika extract","Paprika Extract","neutral","Extracted spice providing color and flavor. Generally safe."
